CompanyName,Date,SecuritiesCompanyCode,保留盈餘,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
光洋科,1150904,1785,5967203.00,,11577.00,,2,115,,,,16923546.00,16215878.00,0.00,27.21,17951058.00,31051034.00,5959802.00,22875760.00,4277296.00,39799306.00,707668.00,4924702.00,8748272.00,0.00
杏昌,1150904,1788,943997.00,,-38851.00,,2,115,,0.00,,2952344.00,2952344.00,0.00,66.31,1754321.00,2729499.00,445210.00,2342108.00,1601988.00,5294452.00,,587787.00,2564953.00,0.00
金穎生技,1150904,1796,76396.00,,-1420.00,,2,115,,0.00,,783910.00,783910.00,0.00,18.91,188046.00,586870.00,414598.00,482307.00,294336.00,1266217.00,,294261.00,679347.00,0.00
易威,1150904,1799,-607925.00,,26410.00,,2,115,,0.00,,723468.00,709282.00,0.00,5.69,263831.00,706361.00,1246895.00,568453.00,43902.00,1291921.00,14186.00,304622.00,585560.00,0.00
寶利徠,1150904,1813,24814.00,,-17983.00,,2,115,,,,663810.00,693335.00,0.00,14.87,294417.00,364773.00,466355.00,304440.00,220149.00,968250.00,-29525.00,10023.00,603477.00,0.00
富喬,1150904,1815,2020619.00,,-266991.00,,2,115,-14441.00,,,13699234.00,13699234.00,600000.00,23.42,3000416.00,8220538.00,6147035.00,7764340.00,5813012.00,21463574.00,,4763924.00,13243036.00,0.00
唐榮公司,1150904,2035,-1136528.00,,100674.00,,2,115,,,,2464192.00,,0.00,7.04,3866615.00,4569979.00,3500000.00,16177553.00,46.00,18641745.00,,12310938.00,14071766.00,0.00
風青,1150904,2061,61065.00,,10010.00,,2,115,,0.00,,678590.00,678590.00,0.00,11.83,601767.00,1065698.00,573781.00,632112.00,33734.00,1310702.00,,30345.00,245004.00,0.00
世鎧精密,1150904,2063,385616.00,,-146786.00,,2,115,-60.00,,,961691.00,961691.00,2000.00,19.99,851519.00,1099120.00,481015.00,1090329.00,241906.00,2052020.00,,238810.00,952900.00,0.00
晉椿,1150904,2064,151012.00,,-17726.00,,2,115,,,,928895.00,928153.00,0.00,13.39,1392308.00,1073836.00,693300.00,1487509.00,101567.00,2416404.00,742.00,95201.00,1342568.00,0.00
世豐,1150904,2065,586854.00,,-191458.00,,2,115,,,,1809107.00,1809107.00,0.00,28.48,1100831.00,1426844.00,635167.00,1734359.00,778544.00,3543466.00,,633528.00,2116622.00,0.00
世德,1150904,2066,1233719.00,,-19971.00,,2,115,-16753.00,0.00,,2157383.00,2157383.00,260000.00,48.82,1322288.00,2599900.00,444495.00,1604572.00,515893.00,3761955.00,,282284.00,1162055.00,0.00
嘉鋼,1150904,2067,-411095.00,,152001.00,,2,115,,,,224263.00,192288.00,0.00,4.26,1398940.00,850782.00,451382.00,1706016.00,,1930279.00,31975.00,307076.00,1079497.00,0.00
精湛,1150904,2070,647618.00,,-41831.00,,2,115,,0.00,,1182355.00,1182355.00,0.00,28.30,455553.00,1042947.00,417828.00,549941.00,158740.00,1732296.00,,94388.00,689349.00,0.00
雄順,1150904,2073,66710.00,,-2842.00,,2,115,,,,393821.00,,0.00,14.32,315904.00,299158.00,275000.00,423670.00,54953.00,817491.00,,107766.00,518333.00,0.00
大甲,1150904,2221,601742.00,0.00,-69.00,,2,115,0.00,0.00,0.00,1180833.00,1084557.00,0.00,25.62,519520.00,1354227.00,423250.00,671904.00,59634.00,1852737.00,96276.00,152384.00,498510.00,0.00
泰茂,1150904,2230,150498.00,,34975.00,,2,115,-30501.00,0.00,,1078414.00,1060164.00,1000000.00,15.82,667210.00,1288292.00,680296.00,862310.00,224896.00,1940724.00,18250.00,195100.00,652432.00,0.00
謚源,1150904,2235,339513.00,,0.00,,2,115,,,,1196095.00,,0.00,33.34,203605.00,496258.00,358780.00,242095.00,497802.00,1438190.00,,38490.00,941932.00,0.00
綠意,1150904,2596,967737.00,,0.00,,2,115,,,,2512862.00,2156945.00,0.00,21.57,3276184.00,5630259.00,1000000.00,3676184.00,189208.00,6189046.00,355917.00,400000.00,558787.00,0.00
大車隊,1150904,2640,914610.00,,-2502.00,,2,115,,0.00,,2085885.00,2002691.00,0.00,33.79,1678997.00,1904616.00,592650.00,2006015.00,497933.00,4091900.00,83194.00,327018.00,2187284.00,0.00
正德,1150904,2641,2968815.00,,339442.00,,2,115,,0.00,,9254815.00,8418440.00,0.00,25.48,805365.00,2578547.00,3303337.00,5565235.00,1806846.00,14820050.00,836375.00,4759870.00,12241503.00,0.00
捷迅,1150904,2643,1115632.00,,69166.00,,2,115,,,,1955903.00,1955903.00,0.00,55.88,1116301.00,2697625.00,350000.00,1228165.00,421105.00,3184068.00,,111864.00,486443.00,0.00
全心投控,1150904,2718,4581967.00,,-11457.00,,2,115,-85910.00,,,6101719.00,6101719.00,1766000.00,71.11,816360.00,4380620.00,875760.00,1332568.00,741359.00,7434287.00,,516208.00,3053667.00,0.00
燦星旅,1150904,2719,38573.00,,,,2,115,,0.00,,745523.00,745523.00,0.00,10.78,269171.00,726920.00,691825.00,281018.00,15125.00,1026541.00,,11847.00,299621.00,0.00
藝舍-KY,1150904,2724,-145144.00,,-9472.00,,2,115,,,,450597.00,441948.00,0.00,7.41,84163.00,483150.00,596564.00,95639.00,,546236.00,8649.00,11476.00,63086.00,0.00
雅茗-KY,1150904,2726,-35001.00,,-50481.00,,2,115,-15512.00,,,357530.00,349064.00,232637.00,9.26,196010.00,273039.00,379225.00,333282.00,70833.00,690812.00,8466.00,137272.00,417773.00,0.00
