保留盈餘,公司代號,公司名稱,共同控制下前手權益,其他權益,出表日期,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
5581927.00,1307,三芳,,247128.00,1150905,,2,115,,,,9958838.00,9958838.00,0.00,25.03,5610263.00,10476605.00,3978181.00,8731367.00,151602.00,18690205.00,,3121104.00,8213600.00,0.00
4347977.00,1308,亞聚,,442890.00,1150905,,2,115,,,,10767239.00,10767239.00,0.00,18.13,1188593.00,2827482.00,5937438.00,1582686.00,38934.00,12349925.00,,394093.00,9522443.00,0.00
1215480.00,1309,台達化,,182525.00,1150905,,2,115,,,,5377819.00,5377819.00,0.00,13.53,2464957.00,5059209.00,3975868.00,3026099.00,3946.00,8403918.00,,561142.00,3344709.00,0.00
401064.00,1310,台苯,,458401.00,1150905,,2,115,,,,6397159.00,6270642.00,0.00,11.88,1394811.00,3205183.00,5278698.00,1630911.00,132479.00,8028070.00,126517.00,236100.00,4822887.00,0.00
14178810.00,1312,國喬,,2789838.00,1150905,,2,115,-49858.00,,,33302625.00,29339325.00,1776000.00,26.02,14038271.00,15168784.00,11304985.00,34394297.00,1115550.00,67696922.00,3963300.00,20356026.00,52528138.00,2770123.00
1328252.00,1313,聯成,,14459486.00,1150905,,2,115,0.00,,,30119445.00,30119445.00,0.00,22.63,7822345.00,18522953.00,13308461.00,24554567.00,1023246.00,54674012.00,,16732222.00,36151059.00,0.00
36278173.00,1314,中石化,,-344337.00,1150905,,2,115,,0.00,,75412990.00,75364344.00,0.00,19.91,34247882.00,57411806.00,37848502.00,49484140.00,1582006.00,124897130.00,48646.00,15236258.00,67485324.00,0.00
7767700.00,1315,達新,,4560084.00,1150905,,2,115,-83230.00,0.00,,13536402.00,13501100.00,3572068.00,141.33,462049.00,10041652.00,990990.00,672283.00,265556.00,14208685.00,35302.00,210234.00,4167033.00,0.00
-609019.00,1316,上曜,,-786.00,1150905,,2,115,-57476.00,0.00,,14922837.00,4361410.00,38583058.00,12.01,11716689.00,17716883.00,4016462.00,13446411.00,1012229.00,28369248.00,10561427.00,1729722.00,10652365.00,0.00
16717647.00,1319,東陽,,244460.00,1150905,,2,115,,,,27629559.00,27029077.00,0.00,45.70,8877716.00,13853177.00,5914771.00,11729184.00,4152199.00,39358743.00,600482.00,2851468.00,25505566.00,0.00
3529632.00,1321,大洋,,281292.00,1150905,,2,115,-36189.00,0.00,,6071036.00,6071036.00,6542716.00,27.51,1177709.00,2574305.00,2272283.00,6024622.00,24018.00,12095658.00,,4846913.00,9521353.00,0.00
1684796.00,1323,永裕,,8801.00,1150905,,2,115,,0.00,,2648899.00,2648899.00,0.00,29.02,885797.00,2445355.00,912745.00,1951650.00,42557.00,4600549.00,,1065853.00,2155194.00,0.00
155701.00,1324,地球,,-11445.00,1150905,,2,115,,0.00,,896342.00,896342.00,0.00,11.93,197129.00,707160.00,751219.00,221898.00,867.00,1118240.00,,24769.00,411080.00,0.00
1689600.00,1325,恆大,,27185.00,1150905,,2,115,,0.00,,2651507.00,2573291.00,0.00,30.17,34351.00,1646155.00,852812.00,86229.00,3694.00,2737736.00,78216.00,51878.00,1091581.00,0.00
195672638.00,1326,台化,,255612501.00,1150905,,2,115,-323952.00,0.00,,558225026.00,518864057.00,12169610.00,88.71,117716786.00,333205189.00,58611863.00,169858981.00,9291007.00,728084007.00,39360969.00,52142195.00,394878818.00,0.00
62346.00,1337,再生-KY,,-97041.00,1150905,,2,115,,,,3583196.00,3583196.00,0.00,13.32,2710572.00,1426588.00,2689547.00,2777300.00,928344.00,6360496.00,,66728.00,4933908.00,0.00
2535896.00,1338,廣華-KY,,-234038.00,1150905,,2,115,-92080.00,0.00,,6244502.00,5835268.00,3081000.00,72.26,4087841.00,5309115.00,838400.00,7486365.00,2787090.00,13730867.00,409234.00,3398524.00,8421752.00,0.00
