公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
2008,高興昌,,2,上市,115,264237,262448,333274,70826,-77826,-115585
2009,第一銅,,2,上市,115,-109750,101700,140136,38436,-142509,290695
2010,春源,102509,2,上市,115,-4298,609169,1042557,433388,1656027,-1320850
2012,春雨,29371,2,上市,115,30750,724463,974297,249834,185975,3738
2013,中鋼構,,2,上市,115,-184087,1258240,777650,-480590,-1226680,930177
2014,中鴻,,2,上市,115,-95914,751883,1224769,472886,1536219,-967419
2015,豐興,,2,上市,115,-424239,2979289,2572457,-406832,1758990,-1741583
2017,官田鋼,,2,上市,115,-1098056,294265,305887,11622,-226816,1336494
2020,美亞,1850,2,上市,115,-150520,659039,690993,31954,126878,53746
2022,聚亨,-293239,2,上市,115,-314983,794274,1053093,258819,27426,839615
2023,燁輝,-163013,2,上市,115,-1341848,8708576,7139535,-1569041,-2531448,2467268
2024,志聯,-197,2,上市,115,-4221,95078,117478,22400,50749,-23931
2025,千興,-2,2,上市,115,45666,98100,62560,-35540,31171,-112375
2027,大成鋼,89873,2,上市,115,-3516375,10004309,13727721,3723412,12480568,-5330654
2028,威致,,2,上市,115,-259433,90495,190238,99743,644056,-284880
2029,盛餘,14626,2,上市,115,-657565,2986466,2563337,-423129,259260,-39450
2030,彰源,43779,2,上市,115,-391169,1223856,1650984,427128,-37204,811722
2031,新光鋼,67,2,上市,115,-658586,1269648,1242911,-26737,-360837,992619
2032,新鋼,,2,上市,115,-20905,226691,214878,-11813,-51795,60887
2033,佳大,,2,上市,115,-70136,63333,56469,-6864,51368,11904
2034,允強,-227378,2,上市,115,-251293,994084,917111,-76973,-1381589,1783287
2038,海光,,2,上市,115,-99648,430946,593421,162475,970504,-708381
2049,上銀,56275,2,上市,115,-1064581,7624371,9362188,1737817,3311305,-565182
2059,川湖,215630,2,上市,115,-504487,24079620,29384179,5304559,5773574,-180158
2062,橋椿,9591,2,上市,115,-403244,1159232,1081462,-77770,338824,-22941
2069,運錩,74469,2,上市,115,-413716,150356,250044,99688,-114454,553389
2072,世紀風電,,2,上市,115,-5785139,7919598,8641734,722136,947517,5559758
2101,南港,77923,2,上市,115,3328064,1110688,2365639,1254951,5250681,-7401717
2102,泰豐,16076,2,上市,115,-40055,2896330,2673909,-222421,-140816,-57626
2103,台橡,440475,2,上市,115,-1336005,6686122,7116962,430840,301119,1025251
2104,國際中橡,-213581,2,上市,115,1930424,10593696,13477791,2884095,1146626,20626
2105,正新,916465,2,上市,115,1033017,22399032,29744923,7345891,8350559,-2954150
2106,建大,46606,2,上市,115,-1352311,9331556,8923675,-407881,436009,461815
2107,厚生,185,2,上市,115,-262101,1478730,1209638,-269092,24656,-31832
2108,南帝,187218,2,上市,115,-1404331,9551171,8499589,-1051582,592931,-427400
2109,華豐,-30539,2,上市,115,-1343807,3260343,2074685,-1185658,299031,-110343
2114,鑫永銓,-14792,2,上市,115,-97015,546149,624938,78789,229177,-38581
2115,六暉-KY,21328,2,上市,115,-60983,829023,874262,45239,-17406,102300
2201,裕隆,102013,2,上市,115,-2695294,11838642,10847529,-991113,2605031,-1002863
2204,中華,58210,2,上市,115,-150638,4218448,4278973,60525,757747,-604794
2206,三陽工業,95155,2,上市,115,-2076391,10795600,7646550,-3149050,1819984,-2987798
2207,和泰車,432650,2,上市,115,-21064971,23971458,23944771,-26687,24821984,-4216350
2208,台船,,2,上市,115,-1056864,1909943,1347398,-562545,-7903899,8398218
2211,長榮鋼,,2,上市,115,735520,1933656,3416111,1482455,1194267,-447332
2227,裕日車,79419,2,上市,115,29274,5530134,4830072,-700062,-785420,-23335
2228,劍麟,116111,2,上市,115,-414465,759829,502854,-256975,52000,-10621
2231,為升,17354,2,上市,115,-415849,1417441,950327,-467114,46083,-114702
2233,宇隆,76706,2,上市,115,-658455,1306849,1112971,-193878,279153,108718
2236,百達-KY,44378,2,上市,115,-154267,828933,834077,5144,319442,-204409
2237,華德動能-創,0,2,上市,115,-74970,78743,77886,-857,-554380,628493
2239,英利-KY,412419,2,上市,115,326470,6130280,7442941,1312661,531217,42555
2241,艾姆勒,8116,2,上市,115,-77040,197179,166632,-30547,-14612,52989
2243,宏旭-KY,19999,2,上市,115,-122467,478159,591050,112891,37607,177752
2247,汎德永業,,2,上市,115,-957034,2639545,5126439,2486894,4185896,-741968
2248,華勝-KY,50689,2,上市,115,-174565,650149,742599,92450,118287,98039
2250,IKKA-KY,-8514,2,上市,115,-13660,1355163,1374622,19459,135749,-94116
2254,巨鎧精密-創,1499,2,上市,115,-16115,83570,144883,61313,-50482,126411
2258,鴻華先進-創,16119,2,上市,115,-851091,1722333,2645912,923579,-2388799,4147350
2301,光寶科,2462884,2,上市,115,-7933001,80974352,75190014,-5784338,-4238093,3923872
2302,麗正,-4519,2,上市,115,9851,448174,527032,78858,75187,-1661
2303,聯電,1581778,2,上市,115,-28774810,110660052,124706465,14046413,55678697,-14439252
2305,全友,29847,2,上市,115,-124793,540782,564163,23381,44730,73597
2308,台達電,979505,2,上市,115,-30282455,151172175,182350204,31178029,63100603,-2619624
2312,金寶,1212698,2,上市,115,-1891228,13851982,27480134,13628152,2843482,11463200
2313,華通,488561,2,上市,115,-4791300,11508955,11951079,442124,834351,3910512
