備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
新系列產品訂單成長,6629,泰金-KY,1150911,-16.669856857523303,240320,44.238290393909494,138839,200259,居家生活,85.53444610538403,966655,1793478,11508
-,6637,醫影,1150911,-13.993926040612159,50379,0.898865938569732,42943,43329,生技醫療業,-29.20655483763891,867634,614228,11508
配合客戶出貨,6640,均華,1150911,-32.10254117599244,688933,18.686393265012523,394121,467768,半導體業,60.506916524507155,1749795,2808542,11508
雖大陸地區客戶受預期漲價影響之備貨潮較前月降低，唯仍持續中。且去年同期相對基期較低所以YOY成長幅度較大。,6642,富致,1150911,-8.989688995549105,71671,51.855473297015415,42954,65228,電子零組件業,25.70186147958134,364495,458177,11508
去年同期基期較低所致。,6643,M31,1150911,6.468752075446636,165627,73.0784708249497,101885,176341,半導體業,4.064528008694754,1113315,1158566,11508
-,6649,台生材,1150911,16.436586744167272,12387,-32.84131123114174,21476,14423,生技醫療業,-35.909029510667494,140661,90151,11508
主要係因市場需求較去年同期成長所致。,6651,全宇昕,1150911,-2.2824421756318096,186686,62.335928809788655,112375,182425,半導體業,19.46174409573648,1031331,1232046,11508
主係因為客戶需求增加及新設備出貨所致,6654,天正國際,1150911,10.65965741548588,90547,848.7643215604583,10561,100199,其他電子業,154.779527404262,203472,518405,11508
-,6661,威健生技,1150911,-2.7049847712674526,33161,-31.246403989174677,46927,32264,生技醫療業,3.2318197556910144,248374,256401,11508
-,6662,樂斯科,1150911,12.157275021026072,23780,32.83032023507147,20079,26671,生技醫療業,2.0759981206387508,172399,175978,11508
-,6664,群翊,1150911,0.20601820676802568,274733,32.275160239470324,208126,275299,電子零組件業,18.73638625582216,1626114,1930789,11508
本月營收較去年同期增加超過50%以上，主係產品組合及依案件進度認列所致。,6667,信紘科,1150911,77.34740875274588,452041,69.05867516933641,474204,801683,其他電子業,10.530222793110656,4046714,4472842,11508
-,6679,鈺太,1150911,-7.630706131029782,174571,0.31603439051399135,160742,161250,半導體業,6.473597358498771,1333787,1420131,11508
-,6680,鑫創電子,1150911,64.96352322712156,37284,47.61081911344709,41667,61505,電腦及週邊設備業,23.284777538177178,318122,392196,11508
-,6683,雍智科技,1150911,1.359728575586573,230193,25.735179207509955,185567,233323,半導體業,29.817647359169055,1370970,1779761,11508
-,6684,安格,1150911,-5.813351095322676,27024,3.270174869152432,24647,25453,半導體業,-0.06558841841608723,210403,210265,11508
-,6690,安碁資訊,1150911,4.221151749054117,210914,8.207478438939866,203144,219817,數位雲端,13.510660336585078,1510881,1715011,11508
本年累計營收較去年同期減少51.29%，主要係工程收入較去年同期減少所致。,6692,進能服,1150911,-22.992324005780457,106566,-4.405563450830557,85846,82064,綠能環保,-51.29008676635392,1139497,555048,11508
